id,created_at,status,tipo_contrato,data_inicio,data_fim,salario,colaborador_id,notas,salario_variavel,cargo
1,2026-04-01T21:28:41+00:00,Inativo,PJ,2025-01-06,2025-12-31,2600000,81318204-a746-42d2-8136-3e30d5780bb3,,,Gerente de Legal e Riscos Sr
2,2026-04-01T21:28:41+00:00,Inativo,PJ,2024-03-01,2024-07-31,3300000,d02caaf1-fea9-460f-a8eb-f95da3a06c86,,,Diretor de Engenharia
3,2026-04-01T21:28:41+00:00,Inativo,CLT,2024-12-16,2025-09-30,920000,cd923370-1e59-4d04-9d88-0ab686f499de,,,Engenheiro de Software Pl
4,2026-04-01T21:28:41+00:00,Inativo,CLT,2024-12-16,2025-03-06,1100000,4bc0ec82-ca9e-432b-a71f-662796448c31,,,Engenheiro de Software Pl
5,2026-04-01T21:28:41+00:00,Inativo,PJ,2023-08-01,,2560300,8157fc35-65a2-4e19-9cf2-e1f3f1d96e74,,,Staff Software Engineer
6,2026-04-01T21:28:41+00:00,Inativo,CLT,2024-08-05,2025-04-30,1050000,6debc265-8e0e-410d-bb78-ef2ba82e4eca,,,Engenheiro de Software Pl
7,2026-04-01T21:28:41+00:00,Inativo,PJ,2023-11-01,2024-08-30,1200000,a768daf5-7765-4523-9bca-c88bf487fc25,,,Engenheiro de Software Pl
8,2026-04-01T21:28:41+00:00,Inativo,CLT,2023-06-19,2024-06-26,501900,d34ab1fe-5f22-4864-bebc-473fb56e9115,,,Analista de Planejamento Comercial Pl
9,2026-04-01T21:28:41+00:00,Inativo,CLT,2024-04-15,2024-07-31,450400,daafbcec-2c36-4a5f-8c62-e611147e94e8,,,Product Designer Jr
10,2026-04-01T21:28:41+00:00,Inativo,CLT,2023-01-16,2023-07-31,440400,daafbcec-2c36-4a5f-8c62-e611147e94e8,,,Designer Pl
11,2026-04-01T21:28:41+00:00,Inativo,CLT,2024-03-01,2024-07-31,1325000,2b8bb04f-8e63-4005-b937-9b88450daba2,,,Coordenadora de Geração de Demanda
12,2026-04-01T21:28:41+00:00,Inativo,CLT,2023-08-01,2024-02-29,1198200,2b8bb04f-8e63-4005-b937-9b88450daba2,,,Coordenadora de Geração de Demanda
13,2026-04-01T21:28:41+00:00,Inativo,CLT,2023-05-01,2023-07-31,1150000,2b8bb04f-8e63-4005-b937-9b88450daba2,,,Especialista de Business Development
14,2026-04-01T21:28:41+00:00,Inativo,CLT,2022-11-01,2024-04-30,1048600,2b8bb04f-8e63-4005-b937-9b88450daba2,,,Especialista de Business Development
15,2026-04-01T21:28:41+00:00,Inativo,CLT,2022-09-01,2022-10-31,885200,2b8bb04f-8e63-4005-b937-9b88450daba2,,,Analista de Inbound Sr
16,2026-04-01T21:28:41+00:00,Inativo,CLT,2022-02-21,2022-08-31,850000,2b8bb04f-8e63-4005-b937-9b88450daba2,,,Analista de Inbound Sr
17,2026-04-01T21:28:41+00:00,Inativo,CLT,2024-03-01,2024-07-31,337755,0f1fc0fc-0e2e-4da8-bb5f-04162e7d0921,,,Analista de Prevenção a Fraude e Backoffice Jr
18,2026-04-01T21:28:41+00:00,Inativo,CLT,2022-11-16,2023-01-31,285000,0f1fc0fc-0e2e-4da8-bb5f-04162e7d0921,,,Analista de Abertura de Conta Jr
19,2026-04-01T21:28:41+00:00,Inativo,CLT,2023-02-01,2023-07-31,285000,0f1fc0fc-0e2e-4da8-bb5f-04162e7d0921,,,Analista de Prevenção a Fraude e Backoffice Jr
20,2026-04-01T21:28:41+00:00,Inativo,CLT,2023-08-01,2024-02-29,293700,0f1fc0fc-0e2e-4da8-bb5f-04162e7d0921,,,Analista de Prevenção a Fraude e Backoffice Jr
21,2026-04-01T21:28:41+00:00,Inativo,PJ,2024-03-01,2024-08-30,1030000,d51891c8-88ff-4a51-90f9-4a010a79a3c4,,,Engenheiro de Software Pl
22,2026-04-01T21:28:41+00:00,Inativo,PJ,2020-11-16,2022-11-30,744000,d51891c8-88ff-4a51-90f9-4a010a79a3c4,,,Engenheiro de Software Jr
23,2026-04-01T21:28:41+00:00,Inativo,PJ,2022-12-01,2023-04-30,744000,d51891c8-88ff-4a51-90f9-4a010a79a3c4,,,Engenheiro de Software Jr
24,2026-04-01T21:28:41+00:00,Inativo,PJ,2023-05-01,2024-02-29,930000,d51891c8-88ff-4a51-90f9-4a010a79a3c4,,,Engenheiro de Software Pl
25,2026-04-01T21:28:41+00:00,Inativo,CLT,2024-02-19,2024-07-31,900000,98decbfe-4d11-4248-b98d-a984a4f8909a,,,Analista de Inbound Marketing Sr
26,2026-04-01T21:28:41+00:00,Inativo,PJ,2022-06-06,2025-12-05,2750000,c4a42145-f41c-4db1-bd60-d21d2d71ce9e,,,Diretor de Crédito
27,2026-04-01T21:28:41+00:00,Inativo,CLT,2023-08-01,2024-07-31,851200,2f42220c-063a-46de-8f7b-c8b55089e333,,,Líder de Suporte
28,2026-04-01T21:28:41+00:00,Inativo,CLT,2023-05-08,2024-07-31,288300,87a600c4-8911-4301-8675-ff07854e9a24,,,Analista de Suporte Jr
29,2026-04-01T21:28:41+00:00,Inativo,CLT,2024-03-18,2024-07-31,370000,c75a9cb5-b09f-4b9d-a850-c6e577765d35,,,LDR Jr
30,2026-04-01T21:28:41+00:00,Inativo,Estágio,2024-08-05,2024-10-22,220000,e8dc46e8-4416-4439-a325-aab2465abc89,,,Estagiário(a)
31,2026-04-01T21:28:41+00:00,Inativo,PJ,2024-03-01,2024-08-30,1360000,2255404b-c314-46d0-a945-4ce870311f92,,,Analista de DevOps Sr
32,2026-04-01T21:28:41+00:00,Inativo,PJ,2021-10-04,2022-03-31,1022200,2255404b-c314-46d0-a945-4ce870311f92,,,Analista de Cyber Security Pl
