id,created_at,status,tipo_contrato,data_inicio,data_fim,salario,colaborador_id,notas,salario_variavel,cargo
1,2026-03-30T23:39:20+00:00,inativo,Estágio,2021-12-01,2021-12-01,80000,4b9c417c-782c-4117-9b4e-100dd7c9cece,,,
2,2026-03-30T23:39:20+00:00,inativo,CLT,2019-08-01,2020-12-31,180000,e39191be-bea9-4c9f-8ecc-66cb81b1330c,,,
3,2026-03-30T23:39:20+00:00,inativo,CLT,2023-01-01,,180000,8323fdca-6aa9-4456-989f-9baba57e9fbb,,,
4,2026-03-30T23:39:20+00:00,inativo,CLT,2021-01-01,2021-09-30,260000,e39191be-bea9-4c9f-8ecc-66cb81b1330c,,,
5,2026-03-30T23:39:20+00:00,inativo,Estágio,2021-12-01,2021-12-01,80000,e7404509-c3f7-4394-b870-33100518ddf9,,,
6,2026-03-30T23:39:20+00:00,inativo,CLT,2020-01-06,2020-08-30,180000,d677bc82-2dcb-45b0-8868-431f3583cb3f,,,
7,2026-03-30T23:39:20+00:00,inativo,CLT,2018-03-01,2018-05-31,180000,e06f52e7-2d11-4054-9d97-10c9eac4d1d2,,,
8,2026-03-30T23:39:20+00:00,inativo,CLT,2018-06-12,2018-09-30,200000,4d384852-4c9c-4c3f-8be0-dadcbf1870c6,,,
9,2026-03-30T23:39:20+00:00,inativo,CLT,2020-09-01,,220000,d677bc82-2dcb-45b0-8868-431f3583cb3f,,,
10,2026-03-30T23:39:20+00:00,inativo,CLT,2018-07-03,2018-09-30,250000,b766da6d-60fd-4cd9-b4c1-b9517d9cadfa,,,
11,2026-03-30T23:39:20+00:00,inativo,CLT,2018-10-01,2019-04-30,280000,4d384852-4c9c-4c3f-8be0-dadcbf1870c6,,,
12,2026-03-30T23:39:20+00:00,inativo,CLT,2019-05-01,,300000,4d384852-4c9c-4c3f-8be0-dadcbf1870c6,,,
13,2026-03-30T23:39:20+00:00,inativo,CLT,2021-09-01,2022-03-31,150000,3ad59819-e7a9-4086-95d1-a171db853e80,,,
14,2026-03-30T23:39:20+00:00,inativo,CLT,2021-10-01,2021-12-31,172500,88903ae0-9562-4b29-ad73-7520d152a274,,,
15,2026-03-30T23:39:20+00:00,inativo,CLT,2021-09-21,2022-06-30,180000,8bddff92-46b4-44c5-83cc-42ff87bfc391,,,
16,2026-03-30T23:39:20+00:00,inativo,CLT,2020-06-16,2021-05-31,350000,94f27663-7406-4b55-ad2c-240ed5589814,,,
17,2026-03-30T23:39:20+00:00,inativo,CLT,2021-06-01,2022-02-04,370000,94f27663-7406-4b55-ad2c-240ed5589814,,,
18,2026-03-30T23:39:20+00:00,inativo,CLT,2021-08-17,2021-09-30,210000,c276dcc2-23d1-45eb-8302-e617c07eaeb8,,,
19,2026-03-30T23:39:20+00:00,inativo,CLT,2023-05-01,2023-08-31,227100,21d9cd14-ca08-4812-af4e-a3f06c339563,,,
20,2026-03-30T23:39:20+00:00,inativo,CLT,2022-01-01,2022-10-31,121200,a3b6dfa6-eb90-4051-92c1-c490d56b0558,,,
21,2026-03-30T23:39:20+00:00,inativo,CLT,2020-10-01,2021-05-31,300000,32f7cb34-3ae2-45c7-8317-60cf5662e7cf,,,
22,2026-03-30T23:39:20+00:00,inativo,CLT,2021-06-01,2022-01-07,350000,32f7cb34-3ae2-45c7-8317-60cf5662e7cf,,,
23,2026-03-30T23:39:20+00:00,inativo,CLT,2022-11-01,2023-04-30,131676,a23b969a-4f0d-4c43-8167-ec0fa6462388,,,
24,2026-03-30T23:39:20+00:00,inativo,CLT,2023-05-01,2023-08-31,227100,13a5f060-a4f4-4734-afd2-6cfafaeb797d,,,
25,2026-03-30T23:39:20+00:00,inativo,CLT,2024-04-16,2024-11-30,227100,dd44ebe3-e56a-4f86-a533-a0388204d396,,,
26,2026-03-30T23:39:20+00:00,inativo,CLT,2023-09-01,2024-08-02,235198,13a5f060-a4f4-4734-afd2-6cfafaeb797d,,,
27,2026-03-30T23:39:20+00:00,inativo,CLT,2022-11-01,2023-04-30,131676,a3b6dfa6-eb90-4051-92c1-c490d56b0558,,,
28,2026-03-30T23:39:20+00:00,inativo,CLT,2022-08-16,2022-12-31,140000,8323fdca-6aa9-4456-989f-9baba57e9fbb,,,
29,2026-03-30T23:39:20+00:00,inativo,CLT,2023-09-01,,232600,21d9cd14-ca08-4812-af4e-a3f06c339563,,,
30,2026-03-30T23:39:20+00:00,inativo,CLT,2022-09-13,2023-04-30,220000,21d9cd14-ca08-4812-af4e-a3f06c339563,,,
31,2026-03-30T23:39:20+00:00,inativo,CLT,2024-01-02,2024-11-30,360500,5014d124-b35e-4417-9599-84d51fd58dbc,,,
32,2026-03-30T23:39:20+00:00,inativo,PJ,2023-09-01,2024-08-02,1632800,2fc271f5-05b5-4189-b015-f4ee6b37d1e5,,,
33,2026-03-30T23:39:20+00:00,inativo,CLT,2023-05-01,2023-08-31,227100,3ad59819-e7a9-4086-95d1-a171db853e80,,,
34,2026-03-30T23:39:20+00:00,inativo,CLT,2023-09-01,2024-11-30,235551,3ad59819-e7a9-4086-95d1-a171db853e80,,,
35,2026-03-30T23:39:20+00:00,inativo,CLT,2023-01-01,2023-04-30,211279,3ad59819-e7a9-4086-95d1-a171db853e80,,,
36,2026-03-30T23:39:20+00:00,inativo,CLT,2021-10-01,2021-12-31,230000,a35e4f95-f95b-4993-8d9f-92bf30f8ad47,,,
37,2026-03-30T23:39:20+00:00,inativo,CLT,2022-01-01,2022-03-31,150000,13a5f060-a4f4-4734-afd2-6cfafaeb797d,,,
38,2026-03-30T23:39:20+00:00,inativo,CLT,2019-04-09,2019-06-30,150000,32f7cb34-3ae2-45c7-8317-60cf5662e7cf,,,
39,2026-03-30T23:39:20+00:00,inativo,CLT,2024-04-09,2024-11-30,227100,815ef18e-2e53-499f-872a-2f6041503564,,,
40,2026-03-30T23:39:20+00:00,inativo,CLT,2019-07-01,2019-08-31,180000,32f7cb34-3ae2-45c7-8317-60cf5662e7cf,,,
41,2026-03-30T23:39:20+00:00,inativo,CLT,2019-09-01,2019-12-31,200000,32f7cb34-3ae2-45c7-8317-60cf5662e7cf,,,
42,2026-03-30T23:39:20+00:00,inativo,CLT,2020-08-01,2020-09-30,260000,32f7cb34-3ae2-45c7-8317-60cf5662e7cf,,,
43,2026-03-30T23:39:20+00:00,inativo,CLT,2024-02-20,2024-11-30,300400,aa5b3fe8-12d6-45a8-b135-84910d7e0487,,,
44,2026-03-30T23:39:20+00:00,inativo,CLT,2020-01-01,2020-05-31,220000,32f7cb34-3ae2-45c7-8317-60cf5662e7cf,,,
45,2026-03-30T23:39:20+00:00,inativo,CLT,2020-06-01,2020-07-31,250000,32f7cb34-3ae2-45c7-8317-60cf5662e7cf,,,
46,2026-03-30T23:39:20+00:00,inativo,CLT,2022-04-01,2022-09-30,170000,13a5f060-a4f4-4734-afd2-6cfafaeb797d,,,
47,2026-03-30T23:39:20+00:00,inativo,CLT,2017-05-02,2018-02-28,150000,e06f52e7-2d11-4054-9d97-10c9eac4d1d2,,,
48,2026-03-30T23:39:20+00:00,inativo,CLT,2018-07-17,2018-10-01,180000,bfe670e7-c020-4c6d-b21b-22c960f60d96,,,
49,2026-03-30T23:39:20+00:00,inativo,CLT,2018-06-01,2018-09-30,200000,e06f52e7-2d11-4054-9d97-10c9eac4d1d2,,,
50,2026-03-30T23:39:20+00:00,inativo,CLT,2021-06-16,2021-06-16,220000,ca45a6e4-6511-4045-ab52-ca798c96e935,,,
51,2026-03-30T23:39:20+00:00,inativo,CLT,2018-10-01,2019-05-27,280000,e06f52e7-2d11-4054-9d97-10c9eac4d1d2,,,
52,2026-03-30T23:39:20+00:00,inativo,CLT,2018-10-01,2019-05-27,280000,b766da6d-60fd-4cd9-b4c1-b9517d9cadfa,,,
53,2026-03-30T23:39:20+00:00,inativo,CLT,2019-05-28,2020-12-04,300000,e06f52e7-2d11-4054-9d97-10c9eac4d1d2,,,
54,2026-03-30T23:39:20+00:00,inativo,CLT,2019-05-28,2020-03-31,350000,b766da6d-60fd-4cd9-b4c1-b9517d9cadfa,,,
55,2026-03-30T23:39:20+00:00,inativo,CLT,2020-04-01,,400000,b766da6d-60fd-4cd9-b4c1-b9517d9cadfa,,,
56,2026-03-30T23:39:20+00:00,inativo,PJ,2020-12-04,2021-12-31,471000,e06f52e7-2d11-4054-9d97-10c9eac4d1d2,,,
